MEAS1,MEAS2,MEAS3,MEAS4
6.26791651478257e-11,nan,0.0002923806619119121,0.0035853125
6.40324385604361e-11,nan,0.000157176707957958,0.003776875
5.8637482446775e-11,nan,0.0001728556681681683,0.0037503125
6.33908487833333e-11,nan,0.000203679617117117,0.00356640625
6.2846730927307e-11,nan,0.0001621199324324321,0.00347734375
6.03875137659757e-11,nan,0.0001122516266266267,0.00368890625
5.76847938736447e-11,nan,5.20683183183185e-05,0.0034384375
5.80670501769469e-11,nan,0.00214328125,0.00352421875
5.9083834488702e-11,nan,0.0002220082582582582,0.0040178125
5.65646128974739e-11,1.26915043506529e-08,0.0001817642642642646,0.003395
